Artikelbezeichnung;Hersteller;Artikelnummer;Kategoriepfad;Beschreibungsfeld;Bild-Link;Deeplink;Verfuegbarkeit;Bruttopreis;Stattpreis;EAN;Versandkosten;
"Hydraulikpumpe BG3";"Bypy";"FA276";"Landtechnik>Hydraulikprogramm>Hydraulikpumpen und Zubehör>Zahnradpumpen Standard>Zahnradpumpen BG3 Bondioli";"Unsere Hydraulikpumpen eignen sich für unterschiedlichste Anforderungen und speziell bei größerem Leistungsanspruch. Qualitativ hochwertige Hydraulikpumpen sichern erfolgreichen und vor allem konstanten Einsatz. Achten Sie bei Pumpenwechsel immer darauf, dass Sie unbedingt auch das Hydrauliköl erneuern. Kontrollieren Sie vor dem Einbau der Hydraulikpumpe die Drehrichtung anhand der alten Pumpe, da in den Typenreihen der Hersteller unterschiedliche Drehrichtungen möglich sind. Bei Verwendung von einem Übersetzungsgetriebe benötigen Sie Hydraulikpumpen mit folgenden Drehrichtungen: Zapfwellendrehrichtung RECHTS = Drehrichtung der Hydraulikpumpe RECHTS Zapfwellendrehrichtung LINKS = Drehrichtung der Hydraulikpumpe LINKS";https://www.faie.at/media/image/9c/71/28/art_pro_fo_mb_271_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/hydraulikpumpen-und-zubehoer/zahnradpumpen-standard/zahnradpumpen-bg3-bondioli/5000276/hydraulikpumpe-bg3";lagernd (derzeit bis zu 10 Werktage Lieferzeit);249,00;398,00;""; 0;
"3-Wege-Konstant-Stromregler";"keine Angabe";"FA2084";"Landtechnik>Hydraulikprogramm>Hydraulikventile>Mengenregelung, Stromregler>Stromregler";"Aus einer Rohrleitung mit großer Fördermenge kann eine Teilmenge entzogen werden, die belastbar ist. Z.B. zur Versorgung zweier getrennter Hydraulikkreise mittels einer großen Hydraulikpumpe. Anschluss R hat Vorzug. Anschlüsse: P=Pumpe, R=einstellbarer Vorzugsstrom, E=Restmenge, QE=max. Eingangsmenge, QP= max. geregelte Ausgangsmenge an Anschluss R. Max Druck 210 bar.";https://www.faie.at/media/image/e6/b8/8f/art_pro_fo_mh_2084_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/hydraulikventile/mengenregelung-stromregler/stromregler/5002084/3-wege-konstant-stromregler";lagernd (derzeit bis zu 10 Werktage Lieferzeit);169,00;185,00;""; 0;
"Anbaudreieck/Gerätedreieck im Set";"keine Angabe";"FA5314";"Landtechnik>Landmaschinenteile>Anbaugeräte und Zubehör>Kuppeldreiecke>Anbaudreieck/Schlepperdreieck";"Zum Ankuppeln von Front- und Heckgeräten, verstärkte Ausführung.";https://www.faie.at/media/image/bd/9a/9f/art_pro_fo_gg_54886gesamt_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/anbaugeraete-und-zubehoer/kuppeldreiecke/anbaudreieckschlepperdreieck/5005314/anbaudreieck/geraetedreieck-im-set";nicht lagernd (10-14 Werktage Lieferzeit);209,00;238,00;""; 15;
"Akku-Arbeitslampe 24 LED";"keine Angabe";"FA5958";"Haus, Hof und Garten>Haus & Hof-Bedarf>Haus und Hof>Beleuchtung, Funkhandys";"Praktische Arbeitsleuchte mit hoher Leuchtkraft 220 lm. Helligkeit 2-stufig einstellbar. Durch Milchglasoberfläche keine Blendung trotz starker Leuchtkraft. Bis zu 3 Std Leuchtdauer, Ladezeit ca. 2 Std. Praktischer Halteclip mit eingebauten Magnet für den universalen Einsatz.";https://www.faie.at/media/image/f6/af/da/art_pro_fo_de_5958_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/haus-hof-bedarf/haus-und-hof/beleuchtung-funkhandys/5005958/akku-arbeitslampe-24-led";lagernd (derzeit bis zu 10 Werktage Lieferzeit);29,95;49,95;"4893447620988"; 6,95;
"Vollsichtschutzbrille Daylight";"PROMAT";"FA6621";"Haus, Hof und Garten>Arbeitsschutz>Kopf, Augen, Atem, Gehörschutz>Schutzartikel Corona";"EN 166 · Panoramablickfeld · schlagzähe Scheibe aus Polycarbonat · beschlagfrei · optische Güteklasse 1 · Rahmen aus zwei Komponenten für maximalen Tragekomfort · geeignet für Brillenträger · Kombination mit Halbmasken möglich · verstellbare Gummibandänderung · indirekte Belüftung · Weitere technische Eigenschaften Kategorie: 2 · Scheibenkennzeichnung: nwTec 1 BT 9 O CE.";https://www.faie.at/media/image/3a/0e/11/art_pro_fo_da_6621_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/kopf-augen-atem-gehoerschutz/schutzartikel-corona/5006621/vollsichtschutzbrille-daylight";lagernd (derzeit bis zu 10 Werktage Lieferzeit);8,99;10,95;"4015448556510"; 9,95;
"Kreiselheuerzinke Turboheuer";"keine Angabe";"FA7930";"Landtechnik>Landmaschinenteile>Heugerätezinken & Ersatzteile>Kreiselheuer & Kreiselschwader>passend zu Fella, New Holland";"";https://www.faie.at/media/image/53/31/ce/art_pro_fo_hb_7930-s_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/heugeraetezinken-ersatzteile/kreiselheuer-kreiselschwader/passend-zu-fella-new-holland/5007930/kreiselheuerzinke-turboheuer";lagernd (derzeit bis zu 10 Werktage Lieferzeit);4,19;5,19;""; 9,95;
"Montagesatz für Kuhtrainer";"keine Angabe";"FA8443";"Tierhaltung>Tierhaltung>Rinder>Bändigung>Kuherzieheranlagen";"Bestehend aus 2 Wandhaken für Holz und Beton mit Dübeln, 1 Drahtspanner, 2 S-Haken, 2 Drahtklemmen , 2 Isoliereiern.";https://www.faie.at/media/image/e8/ca/3f/art_pro_fo_fa_8443_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/rinder/baendigung/kuherzieheranlagen/5008443/montagesatz-fuer-kuhtrainer";lagernd (derzeit bis zu 10 Werktage Lieferzeit);7,99;16,95;""; 9,95;
"PVC-Scheibe zu Rändelschraube, 5 Stk.";"keine Angabe";"FA8491";"Tierhaltung>Tierhaltung>Tränkebecken>Ventile, Ersatzteile, Zubehör";"Zu Tränkebecken Quelle.";https://www.faie.at/media/image/79/70/9f/art_pro_fo_fb_8491_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/traenkebecken/ventile-ersatzteile-zubehoer/5008491/pvc-scheibe-zu-raendelschraube-5-stk.";lagernd (derzeit bis zu 10 Werktage Lieferzeit);1,99;9,95;""; 9,95;
"Greifer-Drahtseil";"keine Angabe";"FA8935";"Forst>Forstketten, Seile, Seilwinden>Seile>Greiferseile";"Verzinkt, 1770 N/mm2 Nennfestigkeit. Preis per Meter und inkl. Ablängservice.";https://www.faie.at/media/image/70/35/5b/art_pro_fo_ce_8937_200x200.jpg;"https://www.faie.at/forst/forstketten-seile-seilwinden/seile/greiferseile/5008935/greifer-drahtseil";lagernd (derzeit bis zu 10 Werktage Lieferzeit);2,79;2,99;"4003984659970"; 9,95;
"TEWE-Seil aus Voll-Propylen";"keine Angabe";"FA8963";"Forst>Forstketten, Seile, Seilwinden>Seile>Kunststoffseile";"Extrem hohe Bruchlast, UV-beständig, speziell zur Anwendung in Landwirtschaft usw. Preis per Meter und inkl. Ablängservice.";https://www.faie.at/media/image/03/74/42/art_pro_fo_ce_8963_200x200.jpg;"https://www.faie.at/forst/forstketten-seile-seilwinden/seile/kunststoffseile/5008963/tewe-seil-aus-voll-propylen";lagernd (derzeit bis zu 10 Werktage Lieferzeit);0,49;0,99;"4003984666862"; 9,95;
